group	artifact	version	license	binary_files
androidx.activity	activity	1.10.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	activity-1.10.0.aar
androidx.activity	activity	1.8.2	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	activity-1.8.2.aar
androidx.activity	activity-compose	1.10.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	activity-compose-1.10.0.aar
androidx.activity	activity-compose	1.8.2	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	activity-compose-1.8.2.aar
androidx.activity	activity-ktx	1.10.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	activity-ktx-1.10.0.aar
androidx.activity	activity-ktx	1.7.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.activity	activity-ktx	1.8.2	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	activity-ktx-1.8.2.aar
androidx.annotation	annotation	1.1.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation	1.7.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation	1.7.0-beta01	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation	1.8.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation	1.8.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation	1.9.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation-experimental	1.4.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation-experimental	1.4.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	annotation-experimental-1.4.1.aar
androidx.annotation	annotation-jvm	1.7.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	annotation-jvm-1.7.0.jar
androidx.annotation	annotation-jvm	1.8.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.annotation	annotation-jvm	1.8.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	annotation-jvm-1.8.1.jar
androidx.annotation	annotation-jvm	1.9.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	annotation-jvm-1.9.1.jar
androidx.appcompat	appcompat	1.2.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	appcompat-1.2.0.aar
androidx.appcompat	appcompat-resources	1.2.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	appcompat-resources-1.2.0.aar
androidx.arch.core	core-common	2.1.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-common-2.1.0.jar
androidx.arch.core	core-common	2.2.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-common-2.2.0.jar
androidx.arch.core	core-runtime	2.1.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-runtime-2.1.0.aar
androidx.arch.core	core-runtime	2.2.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	core-runtime-2.2.0.aar
androidx.autofill	autofill	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	autofill-1.0.0.aar
androidx.baselineprofile	androidx.baselineprofile.gradle.plugin	1.3.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.benchmark	benchmark-baseline-profile-gradle-plugin	1.3.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	benchmark-baseline-profile-gradle-plugin-1.3.3.jar
androidx.benchmark	benchmark-common	1.3.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	benchmark-common-1.3.3.aar
androidx.benchmark	benchmark-junit4	1.3.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	benchmark-junit4-1.3.3.aar
androidx.benchmark	benchmark-macro	1.3.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	benchmark-macro-1.3.3.aar
androidx.benchmark	benchmark-macro-junit4	1.3.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	benchmark-macro-junit4-1.3.3.aar
androidx.biometric	biometric	1.1.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	biometric-1.1.0.aar
androidx.collection	collection	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	collection-1.0.0.jar
androidx.collection	collection	1.4.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection	1.4.2	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection	1.4.4	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection-jvm	1.4.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection-jvm	1.4.2	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.collection	collection-jvm	1.4.4	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	collection-jvm-1.4.4.jar
