group	artifact	version	files
androidx.activity	activity	1.10.0	activity-1.10.0.aar,activity-1.10.0.module,activity-1.10.0.pom
androidx.activity	activity	1.8.2	activity-1.8.2.aar,activity-1.8.2.module,activity-1.8.2.pom
androidx.activity	activity-compose	1.10.0	activity-compose-1.10.0.aar,activity-compose-1.10.0.module,activity-compose-1.10.0.pom
androidx.activity	activity-compose	1.8.2	activity-compose-1.8.2.aar,activity-compose-1.8.2.module,activity-compose-1.8.2.pom
androidx.activity	activity-ktx	1.10.0	activity-ktx-1.10.0.aar,activity-ktx-1.10.0.module,activity-ktx-1.10.0.pom
androidx.activity	activity-ktx	1.7.0	activity-ktx-1.7.0.module,activity-ktx-1.7.0.pom
androidx.activity	activity-ktx	1.8.2	activity-ktx-1.8.2.aar,activity-ktx-1.8.2.module,activity-ktx-1.8.2.pom
androidx.annotation	annotation	1.1.0	annotation-1.1.0.pom
androidx.annotation	annotation	1.7.0	annotation-1.7.0.module,annotation-1.7.0.pom
androidx.annotation	annotation	1.7.0-beta01	annotation-1.7.0-beta01.module,annotation-1.7.0-beta01.pom
androidx.annotation	annotation	1.8.0	annotation-1.8.0.module,annotation-1.8.0.pom
androidx.annotation	annotation	1.8.1	annotation-1.8.1.module,annotation-1.8.1.pom
androidx.annotation	annotation	1.9.1	annotation-1.9.1.module,annotation-1.9.1.pom
androidx.annotation	annotation-experimental	1.4.0	annotation-experimental-1.4.0.module,annotation-experimental-1.4.0.pom
androidx.annotation	annotation-experimental	1.4.1	annotation-experimental-1.4.1.aar,annotation-experimental-1.4.1.module,annotation-experimental-1.4.1.pom
androidx.annotation	annotation-jvm	1.7.0	annotation-jvm-1.7.0.jar,annotation-jvm-1.7.0.module,annotation-jvm-1.7.0.pom
androidx.annotation	annotation-jvm	1.8.0	annotation-jvm-1.8.0.module,annotation-jvm-1.8.0.pom
androidx.annotation	annotation-jvm	1.8.1	annotation-jvm-1.8.1.jar,annotation-jvm-1.8.1.module,annotation-jvm-1.8.1.pom
androidx.annotation	annotation-jvm	1.9.1	annotation-jvm-1.9.1.jar,annotation-jvm-1.9.1.module,annotation-jvm-1.9.1.pom
androidx.appcompat	appcompat	1.2.0	appcompat-1.2.0.aar,appcompat-1.2.0.module,appcompat-1.2.0.pom
androidx.appcompat	appcompat-resources	1.2.0	appcompat-resources-1.2.0.aar,appcompat-resources-1.2.0.module,appcompat-resources-1.2.0.pom
androidx.arch.core	core-common	2.1.0	core-common-2.1.0.jar,core-common-2.1.0.pom
androidx.arch.core	core-common	2.2.0	core-common-2.2.0.jar,core-common-2.2.0.module,core-common-2.2.0.pom
androidx.arch.core	core-runtime	2.1.0	core-runtime-2.1.0.aar,core-runtime-2.1.0.pom
androidx.arch.core	core-runtime	2.2.0	core-runtime-2.2.0.aar,core-runtime-2.2.0.module,core-runtime-2.2.0.pom
androidx.autofill	autofill	1.0.0	autofill-1.0.0.aar,autofill-1.0.0.pom
androidx.baselineprofile	androidx.baselineprofile.gradle.plugin	1.3.3	androidx.baselineprofile.gradle.plugin-1.3.3.pom
androidx.benchmark	benchmark-baseline-profile-gradle-plugin	1.3.3	benchmark-baseline-profile-gradle-plugin-1.3.3.jar,benchmark-baseline-profile-gradle-plugin-1.3.3.module,benchmark-baseline-profile-gradle-plugin-1.3.3.pom
androidx.benchmark	benchmark-common	1.3.3	benchmark-common-1.3.3.aar,benchmark-common-1.3.3.module,benchmark-common-1.3.3.pom
androidx.benchmark	benchmark-junit4	1.3.3	benchmark-junit4-1.3.3.aar,benchmark-junit4-1.3.3.module,benchmark-junit4-1.3.3.pom
androidx.benchmark	benchmark-macro	1.3.3	benchmark-macro-1.3.3.aar,benchmark-macro-1.3.3.module,benchmark-macro-1.3.3.pom
androidx.benchmark	benchmark-macro-junit4	1.3.3	benchmark-macro-junit4-1.3.3.aar,benchmark-macro-junit4-1.3.3.module,benchmark-macro-junit4-1.3.3.pom
androidx.biometric	biometric	1.1.0	biometric-1.1.0.aar,biometric-1.1.0.module,biometric-1.1.0.pom
androidx.collection	collection	1.0.0	collection-1.0.0.jar,collection-1.0.0.pom
androidx.collection	collection	1.4.0	collection-1.4.0.module,collection-1.4.0.pom
androidx.collection	collection	1.4.2	collection-1.4.2.module,collection-1.4.2.pom
androidx.collection	collection	1.4.4	collection-1.4.4.module,collection-1.4.4.pom
androidx.collection	collection-jvm	1.4.0	collection-jvm-1.4.0.module,collection-jvm-1.4.0.pom
androidx.collection	collection-jvm	1.4.2	collection-jvm-1.4.2.module,collection-jvm-1.4.2.pom
androidx.collection	collection-jvm	1.4.4	collection-jvm-1.4.4.jar,collection-jvm-1.4.4.module,collection-jvm-1.4.4.pom
androidx.collection	collection-ktx	1.2.0	collection-ktx-1.2.0.module,collection-ktx-1.2.0.pom
androidx.collection	collection-ktx	1.4.2	collection-ktx-1.4.2.module,collection-ktx-1.4.2.pom
androidx.collection	collection-ktx	1.4.4	collection-ktx-1.4.4.jar,collection-ktx-1.4.4.module,collection-ktx-1.4.4.pom
androidx.compose	compose-bom	2024.12.01	compose-bom-2024.12.01.pom
androidx.compose.animation	animation	1.7.6	animation-1.7.6.module,animation-1.7.6.pom
